reactions,GIMME,iMAT,MBA,CORDA,RegrEx
EX_ala__D_e,1,1,1,1,0
EX_ala__L_e,1,1,1,1,0
EX_alaala_e,1,1,1,1,0
EX_all__D_e,1,0,0,0,0
EX_alltn_e,1,0,1,0,0
EX_amp_e,1,0,0,0,0
EX_anhgm_e,1,1,1,1,0
EX_arab__L_e,1,0,0,0,0
EX_arbt_e,1,0,0,0,0
EX_arbtn_e,1,0,0,0,0
EX_arbtn_fe3_e,1,0,0,0,0
EX_arg__L_e,1,1,1,1,0
EX_ascb__L_e,1,0,0,0,0
EX_asn__L_e,1,0,1,1,0
EX_aso3_e,1,0,0,0,0
EX_asp__L_e,1,1,1,1,0
EX_btn_e,1,0,0,0,0
EX_but_e,1,0,0,0,0
EX_butso3_e,1,0,0,0,0
EX_ca2_e,1,0,0,0,0
EX_cbi_e,1,0,0,0,0
EX_cbl1_e,1,0,0,0,0
EX_cd2_e,1,0,0,0,0
EX_cgly_e,1,1,1,1,0
EX_chol_e,1,0,0,0,0
EX_chtbs_e,1,0,0,0,0
EX_cit_e,1,1,1,1,0
EX_cl_e,1,0,0,1,0
EX_cm_e,1,0,0,0,0
EX_cmp_e,1,0,0,0,0
EX_co2_e,1,1,1,1,1
EX_cobalt2_e,1,0,0,1,0
EX_colipa_e,1,1,1,1,0
EX_colipap_e,1,0,1,1,0
EX_cpgn_e,1,0,0,0,0
EX_cpgn_un_e,1,0,0,0,0
EX_crn_e,1,0,0,0,0
EX_crn__D_e,1,0,0,0,0
EX_csn_e,1,0,0,0,0
EX_cu_e,1,0,0,0,0
EX_cu2_e,1,0,0,1,0
EX_cyan_e,1,0,0,0,0
EX_cynt_e,1,0,0,0,0
EX_cys__D_e,1,0,0,0,0
EX_cys__L_e,1,1,1,1,0
EX_cytd_e,1,1,1,1,0
EX_dad_2_e,1,0,0,0,0
EX_damp_e,1,0,0,0,0
EX_dca_e,1,0,0,0,0
EX_dcmp_e,1,0,0,0,0
EX_dcyt_e,1,0,0,0,0
EX_ddca_e,1,0,0,0,0
EX_dgmp_e,1,0,0,0,0
EX_dgsn_e,1,0,0,0,0
EX_dha_e,1,0,1,0,0
EX_dimp_e,1,0,0,0,0
EX_din_e,1,0,0,0,0
EX_dms_e,1,0,0,0,0
EX_dmso_e,1,0,0,0,0
EX_dopa_e,1,0,0,0,0
EX_doxrbcn_e,1,0,0,0,0
EX_dtmp_e,1,0,0,0,0
EX_dump_e,1,0,0,0,0
EX_duri_e,1,0,0,0,0
EX_eca4colipa_e,1,0,1,1,0
EX_enlipa_e,1,1,1,1,0
EX_enter_e,1,1,1,1,0
EX_etha_e,1,1,1,1,0
EX_ethso3_e,1,0,0,0,0
EX_etoh_e,1,1,1,1,1
EX_f6p_e,1,0,0,0,0
EX_fald_e,1,0,0,0,0
EX_fe2_e,1,1,1,1,1
EX_fe3_e,1,1,0,1,1
EX_fe3dcit_e,1,0,0,0,0
EX_fe3dhbzs_e,1,0,0,0,0
EX_fe3hox_e,1,0,0,0,0
EX_fe3hox_un_e,1,0,0,0,0
EX_fecrm_e,1,0,0,0,0
EX_fecrm_un_e,1,0,0,0,0
EX_feenter_e,1,0,0,0,0
EX_feoxam_e,1,0,0,0,0
EX_feoxam_un_e,1,0,0,0,0
EX_for_e,1,1,1,1,1
EX_fru_e,1,0,0,0,0
EX_frulys_e,1,0,0,0,0
EX_fruur_e,1,0,0,0,0
EX_fuc__L_e,1,0,0,0,0
EX_fum_e,1,0,0,0,0
EX_fusa_e,1,0,0,0,0
EX_g1p_e,1,0,0,0,0
EX_g3pc_e,1,0,0,0,0
EX_g3pe_e,1,1,1,1,0
EX_g3pg_e,1,0,1,0,0
EX_g3pi_e,1,0,0,0,0
EX_g3ps_e,1,0,0,0,0
EX_g6p_e,1,0,0,0,0
EX_gal_e,1,0,0,0,0
EX_gal_bD_e,1,0,0,0,0
EX_gal1p_e,1,0,0,0,0
EX_galct__D_e,1,0,0,0,0
EX_galctn__D_e,1,0,0,0,0
EX_galctn__L_e,1,0,0,0,0
EX_galt_e,1,0,0,0,0
EX_galur_e,1,0,0,0,0
EX_gam_e,1,0,0,0,0
EX_gam6p_e,1,0,0,0,0
EX_gbbtn_e,1,0,0,0,0
EX_gdp_e,1,0,0,0,0
EX_glc__D_e,1,1,1,1,1
EX_glcn_e,1,1,1,0,0
EX_glcr_e,1,0,0,0,0
EX_glcur_e,1,0,0,0,0
EX_glcur1p_e,1,0,0,0,0
EX_gln__L_e,1,0,0,0,0
EX_glu__L_e,1,1,1,0,0
EX_gly_e,1,1,1,0,0
EX_glyald_e,1,0,1,1,0
EX_glyb_e,1,0,0,0,0
EX_glyc_e,1,1,1,0,0
EX_glyc__R_e,1,0,1,1,0
EX_glyc2p_e,1,0,0,0,0
EX_glyc3p_e,1,1,1,1,0
EX_glyclt_e,1,1,1,0,1
EX_gmp_e,1,0,0,0,0
EX_gsn_e,1,0,0,0,0
EX_gthox_e,1,0,0,0,0
EX_gthrd_e,1,1,1,1,0
EX_gtp_e,1,0,0,0,0
EX_gua_e,1,1,1,1,0
EX_h_e,1,1,1,1,1
EX_h2_e,1,0,0,0,0
EX_h2o_e,1,1,1,1,1
EX_h2o2_e,1,0,0,0,0
EX_h2s_e,1,1,1,1,0
EX_hacolipa_e,1,0,0,0,0
EX_halipa_e,1,0,0,0,0
EX_hdca_e,1,0,0,0,0
EX_hdcea_e,1,0,0,0,0
EX_hg2_e,1,0,0,0,0
EX_his__L_e,1,1,1,0,0
EX_hom__L_e,1,0,1,1,0
EX_hxa_e,1,0,1,1,0
EX_hxan_e,1,1,1,1,0
EX_idon__L_e,1,1,1,1,0
EX_ile__L_e,1,1,1,1,0
EX_imp_e,1,0,0,0,0
EX_indole_e,1,0,1,1,0
EX_inost_e,1,0,0,0,0
EX_ins_e,1,1,1,1,0
EX_isetac_e,1,0,0,0,0
EX_k_e,1,0,0,1,0
EX_kdo2lipid4_e,1,1,1,1,0
EX_lac__D_e,1,1,1,1,1
EX_lac__L_e,1,1,1,1,0
EX_lcts_e,1,0,0,0,0
EX_leu__L_e,1,1,1,1,0
EX_lipa_e,1,1,1,1,0
EX_lipa_cold_e,1,1,1,1,0
EX_lipoate_e,1,0,0,0,0
EX_lys__L_e,1,1,1,1,0
EX_lyx__L_e,1,0,0,0,0
EX_mal__D_e,1,0,0,0,0
EX_mal__L_e,1,1,1,0,0
EX_malt_e,1,0,0,0,0
EX_malthx_e,1,0,0,0,0
EX_maltpt_e,1,0,0,0,0
EX_malttr_e,1,0,0,0,0
EX_maltttr_e,1,0,0,0,0
EX_man_e,1,0,0,0,0
EX_man6p_e,1,0,0,0,0
EX_manglyc_e,1,0,0,0,0
EX_melib_e,1,0,0,0,0
EX_meoh_e,1,0,0,0,0
EX_met__D_e,1,0,0,0,0
EX_met__L_e,1,0,0,0,0
EX_metsox_R__L_e,1,0,0,0,0
EX_metsox_S__L_e,1,0,0,0,0
EX_mg2_e,1,0,0,1,0
EX_mincyc_e,1,0,0,0,0
EX_minohp_e,1,0,0,0,0
EX_mmet_e,1,0,0,0,0
EX_mn2_e,1,0,0,0,0
EX_mnl_e,1,0,0,0,0
EX_mobd_e,1,0,0,0,0
EX_mso3_e,1,0,0,0,0
EX_n2o_e,1,0,0,0,0
EX_na1_e,1,0,0,0,0
EX_nac_e,1,0,0,0,0
EX_nh4_e,1,1,1,1,0
EX_ni2_e,1,0,0,0,0
EX_nmn_e,1,0,0,0,0
EX_no_e,1,0,0,0,0
EX_no2_e,1,0,0,0,0
EX_no3_e,1,0,0,0,0
EX_novbcn_e,1,0,0,0,0
EX_o16a4colipa_e,1,0,0,0,0
EX_o2_e,1,1,1,1,1
EX_o2s_e,1,0,0,0,0
EX_ocdca_e,1,0,0,0,0
EX_ocdcea_e,1,0,0,0,0
EX_octa_e,1,0,0,0,0
EX_orn_e,1,1,1,0,0
EX_orot_e,1,0,0,0,0
EX_pacald_e,1,0,0,0,0
EX_peamn_e,1,0,0,0,0
EX_phe__L_e,1,1,1,1,0
EX_pheme_e,1,1,1,1,0
EX_pi_e,1,1,1,1,0
EX_pnto__R_e,1,0,0,0,0
EX_ppa_e,1,0,0,0,0
EX_ppal_e,1,0,0,0,0
EX_pppn_e,1,0,0,0,0
EX_ppt_e,1,0,0,0,0
EX_pro__L_e,1,1,1,0,0
EX_progly_e,1,0,0,0,0
EX_psclys_e,1,0,0,0,0
EX_pser__L_e,1,0,0,0,0
EX_ptrc_e,1,1,1,0,0
EX_pydam_e,1,0,0,0,0
EX_pydx_e,1,0,0,0,0
EX_pydxn_e,1,0,0,0,0
EX_pyr_e,1,1,1,1,0
EX_quin_e,1,0,1,1,0
EX_r5p_e,1,0,0,0,0
EX_rfamp_e,1,0,0,0,0
EX_rib__D_e,1,0,0,0,0
EX_rmn_e,1,0,0,0,0
EX_sbt__D_e,1,0,0,0,0
EX_sel_e,1,0,0,0,0
EX_ser__D_e,1,0,0,0,0
EX_ser__L_e,1,1,1,0,0
EX_skm_e,1,0,0,0,0
EX_slnt_e,1,0,0,0,0
EX_so2_e,1,0,0,0,0
EX_so3_e,1,0,0,0,0
EX_so4_e,1,1,1,1,0
EX_spmd_e,1,1,1,1,0
EX_succ_e,1,1,1,0,1
EX_sucr_e,1,0,0,0,0
EX_sulfac_e,1,0,0,0,0
EX_tartr__D_e,1,0,0,0,0
EX_tartr__L_e,1,0,0,0,0
EX_taur_e,1,0,0,0,0
EX_tcynt_e,1,0,0,0,0
EX_thm_e,1,0,0,0,0
EX_thr__L_e,1,1,1,1,0
EX_thrp_e,1,0,0,0,0
EX_thym_e,1,1,1,1,0
EX_thymd_e,1,1,1,1,0
EX_tma_e,1,0,0,0,0
EX_tmao_e,1,0,0,0,0
EX_tre_e,1,0,0,0,0
EX_trp__L_e,1,1,1,1,0
EX_tsul_e,1,0,0,0,0
EX_ttdca_e,1,0,0,0,0
EX_ttdcea_e,1,0,0,0,0
EX_ttrcyc_e,1,0,0,0,0
EX_tungs_e,1,0,0,0,0
EX_tym_e,1,0,0,0,0
EX_tyr__L_e,1,1,1,1,0
EX_tyrp_e,1,0,0,0,0
EX_uacgam_e,1,0,0,0,0
EX_udpacgal_e,1,0,0,0,0
EX_udpg_e,1,0,0,0,0
EX_udpgal_e,1,0,0,0,0
EX_udpglcur_e,1,0,0,0,0
EX_ump_e,1,0,0,0,0
EX_ura_e,1,1,1,1,0
EX_urea_e,1,0,1,1,0
EX_uri_e,1,1,1,0,0
EX_val__L_e,1,1,1,1,0
EX_xan_e,1,1,1,1,0
EX_xmp_e,1,0,0,0,0
EX_xtsn_e,1,1,1,0,0
EX_xyl__D_e,1,0,0,0,0
EX_xylu__L_e,1,0,0,0,0
EX_zn2_e,1,0,0,1,0
12DGR120tipp,1,0,0,1,0
12DGR140tipp,1,0,0,1,0
12DGR141tipp,1,0,0,1,0
12DGR160tipp,1,1,0,0,0
12DGR161tipp,1,1,0,1,0
12DGR180tipp,1,0,0,1,0
12DGR181tipp,1,1,1,1,0
12PPDRtex,1,1,1,1,1
12PPDRtpp,1,1,1,1,0
12PPDStex,1,0,1,1,1
12PPDStpp,1,0,1,1,0
14GLUCANabcpp,1,0,0,0,0
14GLUCANtexi,1,0,0,0,0
23CAMPtex,1,0,0,0,0
23CCMPtex,1,0,0,0,0
23CGMPtex,1,0,0,0,0
23CUMPtex,1,0,0,0,0
23DAPPAt2pp,1,0,0,0,0
23DAPPAtex,1,0,0,0,0
23PDE2pp,0,0,0,0,0
23PDE4pp,0,0,0,0,0
23PDE7pp,0,0,0,0,0
23PDE9pp,0,0,0,0,0
26DAHtex,1,0,0,0,0
2AGPA120tipp,0,0,1,1,0
2AGPA140tipp,0,0,1,1,0
2AGPA141tipp,0,0,1,1,0
2AGPA160tipp,0,0,0,1,0
2AGPA161tipp,0,0,1,1,0
2AGPA180tipp,0,0,0,1,0
2AGPA181tipp,0,0,0,1,0
2AGPE120tipp,0,0,1,0,0
2AGPE140tipp,0,0,1,0,0
2AGPE141tipp,0,0,1,1,0
2AGPE160tipp,0,0,1,0,0
2AGPE161tipp,0,0,1,0,0
2AGPE180tipp,0,0,1,0,0
2AGPE181tipp,0,0,1,1,0
2AGPEAT120,1,0,1,0,0
2AGPEAT140,1,0,1,0,0
2AGPEAT141,1,0,1,1,0
2AGPEAT160,1,0,1,0,0
2AGPEAT161,1,0,1,0,0
2AGPEAT180,1,0,1,0,0
2AGPEAT181,1,0,1,1,0
2AGPG120tipp,0,0,1,1,0
2AGPG140tipp,0,0,1,1,0
2AGPG141tipp,0,0,1,1,0
2AGPG160tipp,0,0,1,0,0
2AGPG161tipp,0,0,1,1,0
2AGPG180tipp,0,0,1,1,0
2AGPG181tipp,0,1,1,1,0
2AGPGAT120,1,0,1,1,0
2AGPGAT140,1,0,1,1,0
2AGPGAT141,1,0,1,1,0
2AGPGAT160,1,0,1,0,0
2AGPGAT161,1,0,1,1,0
2AGPGAT180,1,0,1,1,0
2AGPGAT181,1,1,1,1,0
2DGULRGx,1,0,0,0,0
2DGULRGy,1,0,0,0,0
2DGULRx,1,0,0,0,0
2DGULRy,1,0,0,0,0
2MAHMP,0,0,1,1,0
34dhpactex,1,0,0,0,0
3AMACHYD,0,0,1,1,0
3AMPtex,1,0,0,0,0
3CMPtex,1,0,0,0,0
3GMPtex,1,0,0,0,0
3HAD100,1,1,1,1,0
3HAD120,1,1,1,1,0
3HAD121,1,1,1,1,0
3HAD140,1,1,1,1,0
3HAD141,1,1,1,1,0
3HAD160,1,1,1,1,0
3HAD161,1,1,1,1,0
3HAD180,1,1,1,1,0
3HAD181,1,1,1,1,0
3HAD40,1,1,1,1,0
3HAD60,1,1,1,1,0
3HAD80,1,1,1,1,0
3HCINNMH,0,0,0,0,0
3HPPPNH,0,0,0,0,0
3HPPtex,1,0,1,1,1
3HPPtpp,1,0,1,1,0
3KGK,0,0,0,0,0
3NTD2pp,0,0,0,0,0
3NTD4pp,0,0,0,0,0
3NTD7pp,0,0,0,0,0
3NTD9pp,0,0,0,0,0
3OAR100,1,1,1,1,1
3OAR120,1,1,1,1,1
3OAR121,1,1,1,1,0
3OAR140,1,1,1,1,1
3OAR141,1,1,1,1,0
3OAR160,1,1,1,1,1
3OAR161,1,1,1,1,0
3OAR180,1,1,1,1,1
3OAR181,1,1,1,1,0
3OAR40,1,1,1,1,1
3OAR60,1,1,1,1,1
3OAR80,1,1,1,1,1
3OAS100,1,1,1,1,0
3OAS120,1,1,1,1,0
3OAS121,1,1,1,1,0
3OAS140,1,1,1,1,0
3OAS141,1,1,1,1,0
3OAS160,1,1,1,1,0
3OAS161,1,1,1,1,0
3OAS180,1,1,1,1,0
3OAS181,1,1,1,1,0
3OAS60,1,1,1,1,0
3OAS80,1,1,1,1,0
3OXCOAT,1,0,0,0,0
3PEPTabcpp,0,0,0,1,0
3PEPTtex,1,1,1,1,1
3UMPtex,1,0,0,0,0
42A12BOOXpp,0,0,0,0,0
4HOXPACDtex,1,0,0,0,0
4HTHRS,1,0,0,0,0
4PCP,0,0,0,1,0
4PCPpp,1,0,0,1,0
4PEPTabcpp,1,1,1,1,0
4PEPTtex,1,1,1,1,1
5DGLCNR,1,1,1,1,0
5DGLCNt2rpp,1,1,1,1,0
5DGLCNtex,1,1,1,1,1
5DOAN,1,1,1,1,0
5MTRtex,1,1,1,1,1
5MTRtpp,1,1,1,1,0
A5PISO,1,1,1,1,1
AACPS1,1,1,1,1,0
AACPS2,1,1,1,1,0
AACPS3,1,1,1,1,0
AACPS4,1,1,1,1,0
AACPS5,1,1,1,1,0
AACPS6,1,1,1,1,0
AACPS7,1,1,1,1,0
AACPS8,1,0,1,1,0
AACPS9,1,0,1,1,0
AACTOOR,1,1,0,1,0
AADDGT,1,0,1,1,0
AAMYL,1,0,0,0,0
AAMYLpp,0,0,0,0,0
AB6PGH,1,0,0,0,0
ABTA,1,1,1,1,0
ABUTD,1,1,1,1,0
ABUTt2pp,0,0,0,1,1
ABUTtex,1,1,1,1,1
ACACCT,1,0,0,0,0
ACACT1r,0,0,1,1,1
ACACT2r,0,0,1,1,1
ACACT3r,0,0,1,1,1
ACACT4r,0,0,1,1,1
ACACT5r,0,0,1,1,1
ACACT6r,0,0,0,1,1
ACACT7r,0,0,1,1,1
ACACT8r,0,1,1,1,1
ACACt2pp,1,0,0,0,0
ACACtex,1,0,0,0,0
ACALD,1,1,1,1,1
ACALDtex,1,1,1,1,1
ACALDtpp,1,1,1,1,0
ACANTHAT,0,0,0,0,0
ACBIPGT,0,0,0,0,0
ACCOAC,1,1,1,1,0
ACCOAL,1,1,1,0,1
ACGAL1PPpp,1,0,0,0,0
ACGAL1Ptex,1,0,0,0,0
ACGALtex,1,0,0,0,0
ACGAM1PPpp,1,0,0,0,0
ACGAM1Ptex,1,0,0,0,0
ACGAMK,1,1,1,1,0
ACGAMT,1,0,1,1,0
ACGAptspp,1,0,0,0,0
ACGAtex,1,0,0,0,0
ACGK,1,1,1,1,0
ACGS,1,1,1,1,0
ACHBS,1,1,1,1,0
ACKr,1,1,1,1,1
ACLS,1,1,1,1,0
ACM6PH,0,1,1,1,0
ACMAMUT,1,0,1,1,0
ACMANAptspp,1,0,0,0,0
ACMANAtex,1,0,0,0,0
ACMUMptspp,0,0,0,0,0
ACMUMtex,1,0,0,0,0
ACNAMt2pp,0,0,0,0,0
ACNAMtex,1,0,0,0,0
ACNML,0,0,0,0,0
ACOAD1f,1,0,1,1,1
ACOAD2f,1,0,1,1,1
ACOAD3f,1,0,1,1,1
ACOAD4f,1,0,1,1,1
ACOAD5f,1,0,1,1,1
ACOAD6f,1,0,1,1,1
ACOAD7f,1,1,1,1,1
ACOAD8f,1,1,1,1,1
ACOATA,1,1,1,0,1
ACODA,1,1,1,1,0
ACOLIPAabctex,1,0,1,1,0
ACONIs,1,0,0,0,0
ACONMT,0,0,0,0,0
ACONTa,1,1,1,1,1
ACONTb,1,1,1,1,1
ACOTA,1,1,1,1,1
ACPPAT120,1,1,1,1,0
ACPPAT140,1,1,1,1,0
ACPPAT141,1,1,1,1,0
ACPPAT160,1,1,1,0,0
ACPPAT161,1,0,1,1,0
ACPPAT180,1,1,1,1,0
ACPPAT181,1,1,1,1,0
ACPS1,0,0,0,0,0
ACS,1,1,1,1,0
ACSERtex,1,1,1,1,1
ACSERtpp,1,1,1,1,0
ACt2rpp,1,1,1,1,1
ACt4pp,0,0,0,1,0
ACtex,1,1,1,1,1
ADA,0,0,0,1,0
ADCL,1,0,0,1,0
ADCS,1,0,0,1,0
ADD,1,0,0,1,0
ADEt2rpp,1,1,1,1,1
ADEtex,1,1,1,1,1
ADK1,1,1,1,1,1
ADK3,1,1,1,1,1
ADK4,1,1,1,1,1
ADMDC,1,1,1,1,0
ADNCYC,1,0,1,1,0
ADNK1,1,1,1,1,0
ADNUC,0,0,0,0,0
ADNt2pp_copy1,1,1,1,0,1
ADNt2pp_copy2,1,1,1,0,1
ADNtex,1,1,1,0,1
ADOCBIK,0,0,0,0,0
ADOCBLS,0,0,0,0,0
ADOCBLabcpp,0,0,0,0,0
ADOCBLtonex,1,0,0,0,0
ADPRDP,1,1,1,0,0
ADPT,1,1,1,1,0
ADSK,1,1,1,1,0
ADSL1r,1,1,1,1,1
ADSL2r,1,1,1,1,1
ADSS,1,1,1,1,0
AGDC,0,1,1,1,0
AGM3PA,0,0,0,1,0
AGM3PApp,1,1,1,1,0
AGM3PH,1,1,1,1,0
AGM3Pt2pp,1,1,1,1,0
AGM4PA,0,0,0,1,0
AGM4PApp,1,1,1,1,0
AGM4PCP,0,0,0,1,0
AGM4PCPpp,1,0,0,1,0
AGM4PH,1,1,1,1,0
AGM4Pt2pp,1,1,1,1,0
AGMH,1,1,1,1,0
AGMHE,1,1,1,1,0
AGMT,1,0,1,1,0
AGMt2pp,1,1,1,1,0
AGMtex,1,1,1,1,1
AGPAT120,0,0,1,1,0
AGPAT140,0,0,1,1,0
AGPAT141,0,0,1,1,0
AGPAT160,1,0,1,1,0
AGPAT161,1,0,1,1,0
AGPAT180,0,1,1,1,0
AGPAT181,1,0,1,1,0
AGPR,1,1,1,1,1
AGt3,1,0,0,0,0
AHCYSNS,1,1,1,1,0
AICART,1,1,1,1,1
AIRC2,1,1,1,1,0
AIRC3,1,1,1,1,1
AKGDH,1,1,1,1,0
AKGt2rpp,1,1,1,1,1
AKGtex,1,1,1,1,1
ALAALAD,0,0,0,1,0
ALAALAabcpp,1,1,1,1,0
ALAALAr,1,1,1,1,1
ALAALAtex,1,1,1,1,1
ALAGLUE,0,0,1,1,1
ALAR,1,1,1,1,1
ALATA_D2,1,1,1,1,1
ALATA_L,1,1,1,1,1
ALATA_L2,1,1,1,0,1
ALATRS,1,0,0,0,0
ALAabcpp,1,1,1,1,0
ALAt2pp_copy1,1,1,1,0,1
ALAt2pp_copy2,1,1,1,1,1
ALAt4pp,0,0,0,1,0
ALAtex,1,1,1,1,1
ALCD19,0,0,1,1,1
ALCD2x,1,1,1,1,1
ALDD19xr,0,0,0,0,0
ALDD2x,0,0,0,1,0
ALDD2y,0,0,0,1,0
ALDD3y,0,0,0,0,0
ALDD4,1,0,0,0,0
ALLK,1,0,0,0,0
ALLPI,1,0,0,0,0
ALLTAMH,1,0,0,1,0
ALLTN,0,0,0,1,0
ALLTNt2rpp,0,0,1,0,1
ALLTNtex,1,0,1,0,1
ALLULPE,1,0,0,0,0
ALLabcpp,1,0,0,0,0
ALLtex,1,0,0,0,0
ALPATE160pp,1,0,0,0,0
ALPATG160pp,1,0,0,0,0
ALR2,1,1,1,1,0
ALR4x,0,1,1,1,0
ALTRH,0,0,0,0,0
AM3PA,0,1,1,1,0
AM4PA,0,0,1,1,0
AM4PCP,0,1,0,1,0
AMALT1,1,0,0,0,0
AMALT2,1,0,0,0,0
AMALT3,1,0,0,0,0
AMALT4,1,0,0,0,0
AMANAPEr,0,0,0,0,0
AMANK,0,0,0,0,0
AMAOTr,1,0,0,0,0
AMMQLT8,1,0,0,1,0
AMPMS2,1,0,0,1,0
AMPN,1,1,1,1,0
AMPTASECG,1,1,1,1,0
AMPTASEPG,1,0,0,0,0
AMPtex,1,0,0,0,0
ANHGMtex,1,1,1,1,1
ANHMK,0,1,1,1,0
ANPRT,1,1,1,1,0
ANS,1,1,1,1,0
AOBUTDs,1,1,0,1,0
AOXSr2,1,0,0,0,0
AP4AH,0,0,0,1,0
AP4AS,0,0,0,1,0
AP5AH,0,0,0,0,0
APCS,1,0,0,0,0
APG3PAT120,0,0,0,1,0
APG3PAT140,0,0,1,1,0
APG3PAT141,0,0,0,1,0
APG3PAT160,0,0,1,0,0
APG3PAT161,0,0,1,1,0
APG3PAT180,0,0,1,1,0
APG3PAT181,0,0,1,1,0
APH120,0,1,1,0,0
APH140,0,1,0,1,0
APH141,0,1,1,1,0
APH160,0,1,0,0,0
APH161,0,0,0,1,0
APH180,0,1,0,1,0
APH181,0,1,0,1,0
APPLDHr,0,0,0,0,0
APRAUR,1,0,0,0,0
ARAI,0,0,0,0,0
ARBTNR1,1,0,0,1,0
ARBTNR2,1,0,0,1,0
ARBTNR3,1,0,0,1,0
ARBTNabcpp,0,0,0,1,0
ARBTNexs,1,0,0,1,0
ARBTNtex,1,0,0,1,0
ARBTNtonex,1,0,0,1,0
ARBTNtpp,1,0,0,1,0
ARBTptspp,0,0,0,0,0
ARBTtex,1,0,0,0,0
ARBabcpp,0,0,0,1,0
ARBt2rpp,0,0,0,1,1
ARBt3ipp,0,0,0,1,0
ARBtex,1,0,0,0,0
ARGAGMt7pp,0,0,1,1,1
ARGDC,0,0,0,1,0
ARGDCpp,1,1,1,1,0
ARGORNt7pp,0,1,1,1,1
ARGSL,1,1,1,1,1
ARGSS,1,1,1,1,0
ARGTRS,1,0,0,0,0
ARGabcpp,0,0,0,1,0
ARGt3pp,0,1,1,1,0
ARGtex,1,1,1,1,1
ASAD,1,1,1,1,1
ASCBPL,0,0,0,0,0
ASCBptspp,1,0,0,0,0
ASCBtex,1,0,0,0,0
ASNN,1,1,1,1,0
ASNNpp,0,0,0,1,0
ASNS1,1,1,1,1,0
ASNS2,1,1,1,1,0
ASNTRS,1,0,0,0,0
ASNabcpp,1,0,0,1,0
ASNt2rpp,0,0,1,1,1
ASNtex,1,0,1,1,1
ASO3t8pp,0,0,0,0,0
ASO3tex,1,0,0,0,0
ASP1DC,1,0,0,0,0
ASPCT,1,1,1,1,0
ASPK,1,1,1,1,1
ASPO3,1,0,0,1,0
ASPO4,1,0,0,1,0
ASPO5,1,0,0,0,0
ASPO6,1,0,0,1,0
ASPT,1,1,1,1,0
ASPTA,1,1,1,1,1
ASPTRS,1,0,0,0,0
ASPabcpp,1,0,0,0,0
ASPt2_2pp,1,1,1,1,0
ASPt2_3pp,1,1,1,1,0
ASPt2pp_copy1,0,0,0,0,1
ASPt2pp_copy2,1,1,1,1,1
ASPtex,1,1,1,1,1
ASR,0,0,0,0,0
AST,0,0,0,1,0
ATHRDHr,1,1,1,1,1
ATPHs,1,0,0,0,0
ATPM,1,1,0,1,1
ATPPRT,1,1,1,0,0
ATPS4rpp,1,1,1,1,1
BALAt2pp,1,0,0,0,0
BALAtex,1,0,0,0,0
BETALDHx,1,0,0,0,0
BETALDHy,1,0,0,0,0
BMOCOS,1,0,0,0,0
BMOGDS1,1,0,0,0,0
BMOGDS2,1,0,0,0,0
BPNT,1,1,1,1,0
BSORx,1,0,0,0,0
BSORy,1,0,0,0,0
BTNt2ipp,1,0,0,0,0
BTNtex,1,0,0,0,0
